id,nom,ouverture,fermeture,ferme,station_id
1,Lundi,06.30,20.00,,1000004
2,Mardi,06.30,20.00,,1000004
3,Mercredi,06.30,20.00,,1000004
4,Jeudi,06.30,20.00,,1000004
5,Vendredi,06.30,20.00,,1000004
6,Samedi,07.30,20.00,,1000004
7,Dimanche,,,1,1000004
1,Lundi,,,,1000007
2,Mardi,,,,1000007
3,Mercredi,,,,1000007
4,Jeudi,,,,1000007
5,Vendredi,,,,1000007
6,Samedi,,,,1000007
7,Dimanche,,,,1000007
1,Lundi,08.30,21.00,,1000008
2,Mardi,08.30,21.00,,1000008
3,Mercredi,08.30,21.00,,1000008
4,Jeudi,08.30,21.00,,1000008
5,Vendredi,08.30,21.00,,1000008
6,Samedi,08.30,21.00,,1000008
7,Dimanche,08.30,12.30,,1000008
1,Lundi,01.00,01.00,1,1000009
2,Mardi,01.00,01.00,1,1000009
3,Mercredi,01.00,01.00,1,1000009
4,Jeudi,01.00,01.00,1,1000009
5,Vendredi,01.00,01.00,1,1000009
6,Samedi,01.00,01.00,1,1000009
7,Dimanche,01.00,01.00,1,1000009
1,Lundi,06.00,21.00,,1000012
2,Mardi,06.00,21.00,,1000012
3,Mercredi,06.00,21.00,,1000012
4,Jeudi,06.00,21.00,,1000012
5,Vendredi,06.00,21.00,,1000012
6,Samedi,07.00,21.00,,1000012
7,Dimanche,08.00,21.00,,1000012
1,Lundi,,,,1000013
2,Mardi,,,,1000013
3,Mercredi,,,,1000013
4,Jeudi,,,,1000013
5,Vendredi,,,,1000013
6,Samedi,,,,1000013
7,Dimanche,,,,1000013
1,Lundi,,,,1090001
2,Mardi,,,,1090001
3,Mercredi,,,,1090001
4,Jeudi,,,,1090001
5,Vendredi,,,,1090001
6,Samedi,,,,1090001
7,Dimanche,,,,1090001
1,Lundi,08.30,20.00,,1100002
2,Mardi,08.30,20.00,,1100002
3,Mercredi,08.30,20.00,,1100002
4,Jeudi,08.30,20.00,,1100002
5,Vendredi,08.30,20.00,,1100002
6,Samedi,08.30,20.00,,1100002
7,Dimanche,09.00,12.30,,1100002
1,Lundi,06.30,21.00,,1100004
2,Mardi,06.30,21.00,,1100004
3,Mercredi,06.30,21.00,,1100004
4,Jeudi,06.30,21.00,,1100004
5,Vendredi,06.30,21.00,,1100004
6,Samedi,06.30,21.00,,1100004
7,Dimanche,06.30,20.30,,1100004
1,Lundi,,,,1100006
2,Mardi,,,,1100006
3,Mercredi,,,,1100006
4,Jeudi,,,,1100006
5,Vendredi,,,,1100006
6,Samedi,,,,1100006
7,Dimanche,,,,1100006
1,Lundi,,,,1120004
2,Mardi,,,,1120004
3,Mercredi,,,,1120004
4,Jeudi,,,,1120004
5,Vendredi,,,,1120004
6,Samedi,,,,1120004
7,Dimanche,,,,1120004
1,Lundi,,,,1120005
2,Mardi,,,,1120005
3,Mercredi,,,,1120005
4,Jeudi,,,,1120005
5,Vendredi,,,,1120005
6,Samedi,,,,1120005
7,Dimanche,,,,1120005
1,Lundi,,,,1120006
2,Mardi,,,,1120006
3,Mercredi,,,,1120006
4,Jeudi,,,,1120006
5,Vendredi,,,,1120006
6,Samedi,,,,1120006
7,Dimanche,,,,1120006
1,Lundi,01.00,01.00,1,1130002
2,Mardi,01.00,01.00,1,1130002
3,Mercredi,01.00,01.00,1,1130002
4,Jeudi,01.00,01.00,1,1130002
5,Vendredi,01.00,01.00,1,1130002
6,Samedi,01.00,01.00,1,1130002
7,Dimanche,01.00,01.00,1,1130002
1,Lundi,,,,1130003
2,Mardi,,,,1130003
3,Mercredi,,,,1130003
4,Jeudi,,,,1130003
5,Vendredi,,,,1130003
6,Samedi,,,,1130003
7,Dimanche,,,,1130003
1,Lundi,,,,1140001
2,Mardi,,,,1140001
3,Mercredi,,,,1140001
4,Jeudi,,,,1140001
5,Vendredi,,,,1140001
6,Samedi,,,,1140001
7,Dimanche,,,,1140001
1,Lundi,08.30,20.00,,1150001
2,Mardi,08.30,20.00,,1150001
3,Mercredi,08.30,20.00,,1150001
4,Jeudi,08.30,20.00,,1150001
5,Vendredi,08.30,20.00,,1150001
6,Samedi,08.30,20.00,,1150001
7,Dimanche,09.00,12.30,,1150001
1,Lundi,06.00,20.00,,1150002
2,Mardi,06.00,20.00,,1150002
3,Mercredi,06.00,20.00,,1150002
4,Jeudi,06.00,20.00,,1150002
5,Vendredi,06.00,20.00,,1150002
6,Samedi,,,1,1150002
7,Dimanche,,,1,1150002
1,Lundi,,,,1160003
2,Mardi,,,,1160003
3,Mercredi,,,,1160003
4,Jeudi,,,,1160003
5,Vendredi,,,,1160003
