id,nom,maj,valeur,station_id
1,Gazole,2022-10-11T17:12:03,1.926,1000001
2,SP95,2022-10-11T17:12:03,1.598,1000001
4,GPLc,2022-09-23T20:00:00,0.73,1000004
1,Gazole,2022-10-11T11:48:21,1.982,1090001
5,E10,2022-10-11T11:48:23,1.595,1090001
6,SP98,2022-10-11T11:48:24,1.695,1090001
1,Gazole,2022-10-11T15:42:12,1.959,1100001
2,SP95,2022-10-11T15:42:13,1.689,1100001
4,GPLc,2022-10-11T15:42:13,0.749,1100001
5,E10,2022-10-11T15:42:14,1.619,1100001
2,SP95,2022-09-29T10:32:54,1.63,1100002
6,SP98,2022-09-29T10:32:54,1.655,1100002
1,Gazole,2022-10-10T19:33:31,2.12,1100004
2,SP95,2022-10-10T19:33:31,1.777,1100004
6,SP98,2022-10-10T19:33:31,1.888,1100004
6,SP98,2022-10-10T07:25:23,1.661,1100006
1,Gazole,2022-10-11T07:20:51,1.959,1100006
5,E10,2022-10-11T07:20:52,1.576,1100006
4,GPLc,2022-10-12T00:01:00,0.724,1100007
5,E10,2022-10-10T09:04:35,1.559,1110001
1,Gazole,2022-10-11T07:44:39,1.932,1110001
1,Gazole,2022-10-11T06:53:45,1.945,1120005
5,E10,2022-10-11T06:53:46,1.565,1120005
6,SP98,2022-10-11T06:53:46,1.679,1120005
1,Gazole,2022-10-11T13:00:00,2.105,1120007
5,E10,2022-10-11T13:00:00,1.788,1120007
6,SP98,2022-10-11T13:00:00,1.908,1120007
1,Gazole,2022-10-12T09:00:00,1.891,1120008
3,E85,2022-10-12T09:00:00,0.749,1120008
5,E10,2022-10-12T09:00:00,1.572,1120008
6,SP98,2022-10-12T09:00:00,1.682,1120008
1,Gazole,2022-10-03T23:57:00,1.9,1130002
2,SP95,2022-10-03T23:57:00,1.7,1130002
6,SP98,2022-10-03T23:57:00,1.8,1130002
1,Gazole,2022-10-10T10:46:25,1.859,1150001
5,E10,2022-10-10T10:46:26,1.559,1150001
6,SP98,2022-10-11T09:57:21,1.639,1150001
3,E85,2022-09-16T08:48:09,0.639,1160003
1,Gazole,2022-10-10T12:45:13,1.859,1160003
5,E10,2022-10-10T12:45:14,1.549,1160003
6,SP98,2022-10-10T12:45:14,1.639,1160003
1,Gazole,2022-10-11T14:46:20,1.921,1170001
2,SP95,2022-10-11T14:46:20,1.597,1170001
3,E85,2022-10-11T14:46:21,0.639,1170001
5,E10,2022-10-11T14:46:22,1.548,1170001
6,SP98,2022-10-11T14:46:22,1.65,1170001
1,Gazole,2022-10-11T12:38:53,1.948,1170003
5,E10,2022-10-11T12:38:53,1.567,1170003
6,SP98,2022-10-11T12:38:54,1.668,1170003
6,SP98,2022-10-04T09:07:15,1.8,1170005
1,Gazole,2022-10-11T15:36:19,2.142,1170005
5,E10,2022-10-11T15:36:40,1.755,1170005
1,Gazole,2022-10-10T23:54:00,1.969,1190001
2,SP95,2022-10-10T23:54:00,1.869,1190001
6,SP98,2022-10-10T23:54:00,1.929,1190001
1,Gazole,2022-10-11T07:02:31,1.939,1200001
