id,nom,debut,fin,station_id
3,E85,2017-09-16T09:50:23,,1000001
4,GPLc,2017-09-16T09:50:23,,1000001
5,E10,2018-12-13T09:49:49,,1000001
6,SP98,2022-10-07T11:55:26,,1000001
3,E85,2017-09-07T11:05:59,,1000002
4,GPLc,2017-09-07T11:05:59,,1000002
5,E10,2017-09-07T11:05:59,,1000002
6,SP98,2022-10-06T08:10:06,,1000002
1,Gazole,2022-10-06T18:33:09,,1000002
2,SP95,2022-10-06T18:33:09,,1000002
3,E85,2018-04-21T15:38:51,,1000004
5,E10,2018-04-21T15:38:51,,1000004
6,SP98,2018-04-21T15:38:51,,1000004
1,Gazole,2022-09-26T09:03:31,,1000004
2,SP95,2022-09-29T15:42:30,,1000004
2,SP95,2011-06-01T00:00:00,,1000005
3,E85,2017-09-25T19:45:38,,1000006
4,GPLc,2017-09-25T19:45:39,,1000006
2,SP95,2018-02-20T08:18:30,,1000006
2,SP95,2022-10-04T13:45:28,,1000007
6,SP98,2022-10-05T08:54:27,,1000007
5,E10,2022-10-05T08:54:27,,1000007
1,Gazole,2022-10-11T17:25:24,,1000007
3,E85,2009-11-03T15:21:00,,1000008
4,GPLc,2017-10-03T06:47:50,,1000008
1,Gazole,2022-10-10T17:41:40,,1000008
2,SP95,2022-10-10T17:41:41,,1000008
5,E10,2022-10-10T17:41:42,,1000008
6,SP98,2022-10-10T17:41:42,,1000008
4,GPLc,2022-06-27T08:10:37,,1000009
1,Gazole,2022-10-03T09:04:24,,1000009
2,SP95,2022-10-03T09:04:24,,1000009
3,E85,2022-10-03T09:04:24,,1000009
5,E10,2022-10-03T09:04:24,,1000009
6,SP98,2022-10-03T09:04:24,,1000009
2,SP95,2011-06-09T06:45:00,,1000010
3,E85,2013-08-21T06:15:00,,1000010
4,GPLc,2013-08-21T06:15:00,,1000010
2,SP95,2019-05-22T14:48:16,,1000012
4,GPLc,2019-05-22T14:48:16,,1000012
1,Gazole,2022-10-10T09:26:27,,1000012
3,E85,2022-10-10T09:26:27,,1000012
5,E10,2022-10-10T09:26:27,,1000012
6,SP98,2022-10-10T09:26:28,,1000012
3,E85,2022-09-27T09:15:21,,1000013
2,SP95,2022-09-27T09:15:21,,1000013
4,GPLc,2022-09-27T09:15:22,,1000013
1,Gazole,2022-09-28T09:18:35,,1000013
6,SP98,2022-09-28T09:18:35,,1000013
5,E10,2022-09-29T07:38:06,,1000013
3,E85,2021-12-22T08:22:30,,1090001
2,SP95,2021-12-22T08:22:30,,1090001
4,GPLc,2021-12-22T08:22:30,,1090001
3,E85,2014-08-27T00:00:00,,1100001
3,E85,2017-09-06T08:54:34,,1100001
6,SP98,2017-09-06T08:54:34,,1100001
3,E85,2022-03-02T16:12:58,,1100002
4,GPLc,2022-03-02T16:12:58,,1100002
5,E10,2022-03-02T16:12:58,,1100002
1,Gazole,2022-10-06T17:59:50,,1100002
2,SP95,2013-03-13T16:21:00,,1100003
3,E85,2017-08-29T11:53:12,,1100004
4,GPLc,2017-08-29T11:53:12,,1100004
5,E10,2017-08-29T11:53:13,,1100004
2,SP95,2020-08-12T09:25:36,,1100006
3,E85,2021-11-03T12:54:04,,1100006
4,GPLc,2021-11-03T12:54:04,,1100006
2,SP95,2022-10-05T14:28:50,,1100007
5,E10,2022-10-05T14:28:50,,1100007
6,SP98,2022-10-05T14:28:50,,1100007
1,Gazole,2022-10-06T12:15:43,,1100007
3,E85,2022-10-06T19:06:19,,1100007
3,E85,2017-09-08T08:08:05,,1110001
4,GPLc,2017-09-08T08:08:05,,1110001
2,SP95,2021-08-12T13:58:11,,1110001
6,SP98,2022-10-06T10:23:22,,1110001
2,SP95,2011-06-08T11:00:00,,1120002
2,SP95,2009-04-24T13:43:00,,1120003
2,SP95,2017-09-01T08:54:00,,1120004
4,GPLc,2017-09-01T08:54:01,,1120004
6,SP98,2022-10-04T06:38:51,,1120004
3,E85,2022-10-08T08:02:52,,1120004
5,E10,2022-10-08T16:12:16,,1120004
1,Gazole,2022-10-11T15:35:11,,1120004
2,SP95,2020-03-11T10:28:06,,1120005
4,GPLc,2021-10-07T08:57:23,,1120005
3,E85,2022-10-11T06:53:02,,1120005
2,SP95,2017-08-29T11:06:58,,1120006
3,E85,2017-08-29T11:06:58,,1120006
4,GPLc,2017-08-29T11:06:58,,1120006
1,Gazole,2022-10-10T08:47:11,,1120006
5,E10,2022-10-10T08:47:11,,1120006
6,SP98,2022-10-10T08:47:11,,1120006
2,SP95,2017-08-29T14:20:27,,1120007
3,E85,2017-08-29T14:20:27,,1120007
4,GPLc,2017-08-29T14:20:28,,1120007
2,SP95,2015-03-23T01:00:00,,1120008
4,GPLc,2018-11-22T08:45:33,,1120008
2,SP95,2013-03-12T14:21:00,,1130001
3,E85,2017-09-04T14:39:59,,1130002
4,GPLc,2017-09-04T14:39:59,,1130002
5,E10,2017-09-04T14:39:59,,1130002
2,SP95,2018-12-03T16:46:44,,1130003
3,E85,2018-12-03T16:46:44,,1130003
4,GPLc,2018-12-03T16:46:44,,1130003
5,E10,2022-09-28T08:16:20,,1130003
1,Gazole,2022-09-28T11:15:05,,1130003
6,SP98,2022-09-28T11:15:05,,1130003
4,GPLc,2019-03-02T12:16:42,,1140001
6,SP98,2020-02-18T11:10:54,,1140001
2,SP95,2020-05-15T12:20:43,,1140001
1,Gazole,2022-10-07T10:47:34,,1140001
3,E85,2022-10-07T10:47:34,,1140001
5,E10,2022-10-07T10:47:34,,1140001
3,E85,2021-12-09T14:58:05,,1150001
4,GPLc,2021-12-09T14:58:05,,1150001
4,GPLc,2018-07-05T09:08:08,,1150002
2,SP95,2021-03-15T19:03:50,,1150002
3,E85,2022-10-06T19:11:59,,1150002
1,Gazole,2022-10-11T19:02:58,,1150002
5,E10,2022-10-11T19:02:58,,1150002
6,SP98,2022-10-11T19:02:59,,1150002
2,SP95,2013-06-12T22:37:00,,1160001
4,GPLc,2017-08-30T05:18:29,,1160002
2,SP95,2022-10-03T11:09:54,,1160002
1,Gazole,2022-10-11T10:42:02,,1160002
5,E10,2022-10-11T15:12:16,,1160002
3,E85,2022-10-11T17:21:58,,1160002
6,SP98,2022-10-11T17:21:58,,1160002
4,GPLc,2017-08-29T11:20:29,,1160003
2,SP95,2021-12-15T12:22:05,,1160003
2,SP95,2022-09-27T09:18:13,,1160005
3,E85,2022-09-27T09:18:13,,1160005
4,GPLc,2022-09-27T09:18:13,,1160005
1,Gazole,2022-10-11T06:53:20,,1160005
5,E10,2022-10-11T06:53:20,,1160005
6,SP98,2022-10-11T06:53:20,,1160005
4,GPLc,2017-09-01T09:14:42,,1170001
3,E85,2017-08-30T11:07:28,,1170002
5,E10,2017-11-15T12:23:03,,1170002
4,GPLc,2017-11-15T12:23:03,,1170002
6,SP98,2022-10-07T10:22:44,,1170002
1,Gazole,2022-10-08T08:02:31,,1170002
2,SP95,2022-10-08T08:02:31,,1170002
2,SP95,2016-06-30T00:00:00,,1170003
4,GPLc,2016-06-30T00:00:00,,1170003
2,SP95,2017-09-04T08:47:05,,1170003
4,GPLc,2017-09-04T08:47:05,,1170003
3,E85,2022-10-10T10:55:45,,1170003
2,SP95,2022-07-03T20:12:02,,1170005
3,E85,2022-07-03T20:12:02,,1170005
4,GPLc,2022-07-03T20:12:02,,1170005
5,E10,2021-06-23T14:22:02,,1190001
3,E85,2021-06-25T13:47:09,,1190001
4,GPLc,2021-06-25T13:47:09,,1190001
3,E85,2017-12-08T08:19:23,,1200001
4,GPLc,2017-12-08T08:19:23,,1200001
2,SP95,2019-08-27T14:44:09,,1200001
6,SP98,2022-10-11T07:01:29,,1200001
6,SP98,2016-12-15T00:00:00,,1200003
3,E85,2017-10-26T15:28:20,,1200003
4,GPLc,2017-10-26T15:28:20,,1200003
1,Gazole,2022-10-11T09:30:00,,1200003
5,E10,2022-10-11T10:45:01,,1200003
2,SP95,2022-10-11T14:18:34,,1200003
4,GPLc,2018-02-23T11:21:27,,1210001
5,E10,2022-09-20T10:41:43,,1210001
2,SP95,2019-03-28T08:57:52,,1210002
3,E85,2019-03-28T08:57:53,,1210002
4,GPLc,2019-03-28T08:57:53,,1210002
4,GPLc,2017-09-27T08:13:52,,1210003
6,SP98,2017-09-27T08:13:52,,1210003
5,E10,2022-10-03T09:35:57,,1210003
2,SP95,2022-10-03T16:37:10,,1210003
3,E85,2022-10-08T15:05:15,,1210003
3,E85,2017-08-31T12:06:03,,1220001
4,GPLc,2017-08-31T12:06:03,,1220001
5,E10,2017-08-31T12:06:04,,1220001
6,SP98,2022-10-06T12:37:01,,1220001
2,SP95,2022-10-08T14:17:49,,1220001
1,Gazole,2022-10-09T11:01:30,,1220001
3,E85,2010-10-19T14:57:00,,1230002
4,GPLc,2017-09-15T09:28:31,,1230002
5,E10,2017-09-15T09:28:31,,1230002
1,Gazole,2022-10-10T20:53:55,,1230002
2,SP95,2022-10-10T20:53:55,,1230002
6,SP98,2022-10-10T20:53:56,,1230002
6,SP98,2014-09-15T00:00:00,,1230003
3,E85,2017-09-02T08:39:09,,1230003
4,GPLc,2017-09-02T08:39:09,,1230003
5,E10,2017-09-02T08:39:09,,1230003
6,SP98,2017-09-02T08:39:09,,1230003
1,Gazole,2022-10-04T18:05:44,,1230003
2,SP95,2022-10-07T21:42:20,,1230003
2,SP95,2011-06-03T12:45:00,,1250001
2,SP95,2013-03-20T17:05:02,,1250002
3,E85,2016-05-26T00:00:00,,1250004
4,GPLc,2016-05-26T00:00:00,,1250004
5,E10,2016-05-26T00:00:00,,1250004
6,SP98,2014-06-12T00:00:00,,1270002
3,E85,2020-11-23T18:15:49,,1270003
4,GPLc,2020-11-23T18:15:49,,1270003
5,E10,2020-11-23T18:15:50,,1270003
2,SP95,2021-04-23T14:32:40,,1270003
6,SP98,2022-10-05T11:56:16,,1270003
1,Gazole,2022-10-06T10:09:30,,1270003
2,SP95,2016-02-02T10:00:00,,1290001
4,GPLc,2016-02-02T10:00:00,,1290001
3,E85,2022-03-11T16:33:00,,1300001
4,GPLc,2022-03-11T16:33:00,,1300001
5,E10,2022-10-11T08:56:11,,1300001
1,Gazole,2022-10-11T13:58:22,,1300001
2,SP95,2022-10-11T13:58:22,,1300001
6,SP98,2014-03-03T14:40:00,,1300002
3,E85,2017-10-02T09:07:34,,1300002
4,GPLc,2017-10-02T09:07:34,,1300002
5,E10,2017-10-02T09:07:34,,1300002
