service,station_id
Station de gonflage,1000001
"Vente de gaz domestique (Butane, Propane)",1000001
DAB (Distributeur automatique de billets),1000001
"Vente de gaz domestique (Butane, Propane)",1000002
DAB (Distributeur automatique de billets),1000002
Toilettes publiques,1000004
Relais colis,1000004
Boutique alimentaire,1000004
Boutique non alimentaire,1000004
Vente de fioul domestique,1000004
Station de gonflage,1000004
Carburant additivé,1000004
Location de véhicule,1000004
Piste poids lourds,1000004
"Vente de gaz domestique (Butane, Propane)",1000004
Vente d'additifs carburants,1000004
Automate CB 24/24,1000004
DAB (Distributeur automatique de billets),1000004
Boutique alimentaire,1000005
Boutique non alimentaire,1000005
Station de gonflage,1000005
Carburant additivé,1000005
Piste poids lourds,1000005
Lavage automatique,1000005
"Vente de gaz domestique (Butane, Propane)",1000005
DAB (Distributeur automatique de billets),1000005
"Vente de gaz domestique (Butane, Propane)",1000006
Vente de fioul domestique,1000007
Lavage automatique,1000007
"Vente de gaz domestique (Butane, Propane)",1000007
DAB (Distributeur automatique de billets),1000007
Toilettes publiques,1000008
Relais colis,1000008
Boutique alimentaire,1000008
Boutique non alimentaire,1000008
Bar,1000008
Station de gonflage,1000008
Location de véhicule,1000008
Piste poids lourds,1000008
"Vente de gaz domestique (Butane, Propane)",1000008
Bornes électriques,1000008
Vente d'additifs carburants,1000008
Wifi,1000008
Automate CB 24/24,1000008
DAB (Distributeur automatique de billets),1000008
Laverie,1000009
Boutique alimentaire,1000009
Boutique non alimentaire,1000009
Restauration à emporter,1000009
Restauration sur place,1000009
Vente de fioul domestique,1000009
Station de gonflage,1000009
Piste poids lourds,1000009
Lavage automatique,1000009
"Vente de gaz domestique (Butane, Propane)",1000009
Wifi,1000009
Automate CB 24/24,1000009
DAB (Distributeur automatique de billets),1000009
DAB (Distributeur automatique de billets),1000010
Boutique alimentaire,1000012
Boutique non alimentaire,1000012
Vente de fioul domestique,1000012
Station de gonflage,1000012
Piste poids lourds,1000012
Lavage automatique,1000012
Lavage manuel,1000012
"Vente de gaz domestique (Butane, Propane)",1000012
Wifi,1000012
Automate CB 24/24,1000012
Carburant additivé,1000013
DAB (Distributeur automatique de billets),1000013
Automate CB 24/24,1090001
DAB (Distributeur automatique de billets),1090001
Carburant additivé,1100001
"Vente de gaz domestique (Butane, Propane)",1100001
DAB (Distributeur automatique de billets),1100001
Toilettes publiques,1100002
Laverie,1100002
Relais colis,1100002
Station de gonflage,1100002
Location de véhicule,1100002
Wifi,1100002
DAB (Distributeur automatique de billets),1100002
Boutique alimentaire,1100003
Boutique non alimentaire,1100003
Vente de fioul domestique,1100003
Station de gonflage,1100003
Carburant additivé,1100003
Piste poids lourds,1100003
Lavage automatique,1100003
Lavage manuel,1100003
Services réparation / entretien,1100003
DAB (Distributeur automatique de billets),1100003
Toilettes publiques,1100004
Relais colis,1100004
Boutique alimentaire,1100004
Restauration à emporter,1100004
Station de gonflage,1100004
Carburant additivé,1100004
"Vente de gaz domestique (Butane, Propane)",1100004
Automate CB 24/24,1100004
Toilettes publiques,1100006
Boutique alimentaire,1100006
Boutique non alimentaire,1100006
Restauration sur place,1100006
Bar,1100006
DAB (Distributeur automatique de billets),1100006
Toilettes publiques,1100007
Boutique alimentaire,1100007
Boutique non alimentaire,1100007
Station de gonflage,1100007
Carburant additivé,1100007
Piste poids lourds,1100007
Lavage automatique,1100007
Lavage manuel,1100007
"Vente de gaz domestique (Butane, Propane)",1100007
DAB (Distributeur automatique de billets),1100007
Location de véhicule,1110001
"Vente de gaz domestique (Butane, Propane)",1110001
Toilettes publiques,1120002
Douches,1120002
Boutique alimentaire,1120002
Boutique non alimentaire,1120002
Station de gonflage,1120002
Carburant additivé,1120002
Piste poids lourds,1120002
Espace bébé,1120002
DAB (Distributeur automatique de billets),1120002
Toilettes publiques,1120003
Douches,1120003
Boutique alimentaire,1120003
Boutique non alimentaire,1120003
Restauration à emporter,1120003
Bar,1120003
Station de gonflage,1120003
Carburant additivé,1120003
Piste poids lourds,1120003
Espace bébé,1120003
Boutique alimentaire,1120004
Restauration à emporter,1120004
Carburant additivé,1120004
Location de véhicule,1120004
"Vente de gaz domestique (Butane, Propane)",1120004
Automate CB 24/24,1120004
DAB (Distributeur automatique de billets),1120004
Station de gonflage,1120005
Location de véhicule,1120005
Lavage automatique,1120005
Automate CB 24/24,1120005
DAB (Distributeur automatique de billets),1120005
Boutique non alimentaire,1120006
Location de véhicule,1120006
Lavage manuel,1120006
Services réparation / entretien,1120006
Automate CB 24/24,1120006
Toilettes publiques,1120007
Douches,1120007
Boutique alimentaire,1120007
Boutique non alimentaire,1120007
Restauration à emporter,1120007
Station de gonflage,1120007
Carburant additivé,1120007
Piste poids lourds,1120007
Espace bébé,1120007
Toilettes publiques,1120008
Douches,1120008
Boutique alimentaire,1120008
Boutique non alimentaire,1120008
Restauration à emporter,1120008
Restauration sur place,1120008
Station de gonflage,1120008
Carburant additivé,1120008
Piste poids lourds,1120008
Espace bébé,1120008
DAB (Distributeur automatique de billets),1120008
Boutique alimentaire,1130001
Boutique non alimentaire,1130001
Station de gonflage,1130001
Carburant additivé,1130001
Piste poids lourds,1130001
Services réparation / entretien,1130001
DAB (Distributeur automatique de billets),1130001
Toilettes publiques,1130002
Boutique alimentaire,1130002
Boutique non alimentaire,1130002
Station de gonflage,1130002
Carburant additivé,1130002
Piste poids lourds,1130002
Services réparation / entretien,1130002
"Vente de gaz domestique (Butane, Propane)",1130002
Vente d'additifs carburants,1130002
Automate CB 24/24,1130002
Boutique alimentaire,1130003
Boutique non alimentaire,1130003
Station de gonflage,1130003
Carburant additivé,1130003
Piste poids lourds,1130003
Lavage automatique,1130003
"Vente de gaz domestique (Butane, Propane)",1130003
Automate CB 24/24,1130003
DAB (Distributeur automatique de billets),1130003
Laverie,1140001
Location de véhicule,1140001
"Vente de gaz domestique (Butane, Propane)",1140001
Automate CB 24/24,1140001
Laverie,1150001
Station de gonflage,1150001
Location de véhicule,1150001
"Vente de gaz domestique (Butane, Propane)",1150001
Automate CB 24/24,1150001
DAB (Distributeur automatique de billets),1150001
Douches,1150002
Boutique alimentaire,1150002
Boutique non alimentaire,1150002
Restauration à emporter,1150002
Vente de fioul domestique,1150002
Station de gonflage,1150002
Carburant additivé,1150002
Aire de camping-cars,1150002
Piste poids lourds,1150002
Lavage automatique,1150002
"Vente de gaz domestique (Butane, Propane)",1150002
Wifi,1150002
Automate CB 24/24,1150002
DAB (Distributeur automatique de billets),1150002
Boutique alimentaire,1160001
Boutique non alimentaire,1160001
Station de gonflage,1160001
Carburant additivé,1160001
Piste poids lourds,1160001
Lavage manuel,1160001
DAB (Distributeur automatique de billets),1160001
Toilettes publiques,1160002
Laverie,1160002
Relais colis,1160002
Boutique alimentaire,1160002
Boutique non alimentaire,1160002
Restauration à emporter,1160002
Restauration sur place,1160002
Station de gonflage,1160002
Aire de camping-cars,1160002
Location de véhicule,1160002
Piste poids lourds,1160002
Lavage automatique,1160002
Lavage manuel,1160002
"Vente de gaz domestique (Butane, Propane)",1160002
DAB (Distributeur automatique de billets),1160002
Toilettes publiques,1160003
Station de gonflage,1160003
Location de véhicule,1160003
Lavage automatique,1160003
"Vente de gaz domestique (Butane, Propane)",1160003
Automate CB 24/24,1160003
DAB (Distributeur automatique de billets),1160003
Toilettes publiques,1170001
Relais colis,1170001
Boutique alimentaire,1170001
Boutique non alimentaire,1170001
Restauration à emporter,1170001
Vente de pétrole lampant,1170001
Location de véhicule,1170001
Piste poids lourds,1170001
"Vente de gaz domestique (Butane, Propane)",1170001
DAB (Distributeur automatique de billets),1170001
Boutique alimentaire,1170002
Boutique non alimentaire,1170002
Bar,1170002
Piste poids lourds,1170002
Services réparation / entretien,1170002
"Vente de gaz domestique (Butane, Propane)",1170002
Automate CB 24/24,1170002
DAB (Distributeur automatique de billets),1170002
"Vente de gaz domestique (Butane, Propane)",1170003
DAB (Distributeur automatique de billets),1170003
Toilettes publiques,1170005
Relais colis,1170005
Boutique alimentaire,1170005
Boutique non alimentaire,1170005
Station de gonflage,1170005
"Vente de gaz domestique (Butane, Propane)",1170005
DAB (Distributeur automatique de billets),1170005
Toilettes publiques,1190001
Laverie,1190001
Boutique alimentaire,1190001
Boutique non alimentaire,1190001
Aire de camping-cars,1190001
"Vente de gaz domestique (Butane, Propane)",1190001
Automate CB 24/24,1190001
"Vente de gaz domestique (Butane, Propane)",1200001
DAB (Distributeur automatique de billets),1200001
Vente de pétrole lampant,1200003
"Vente de gaz domestique (Butane, Propane)",1200003
DAB (Distributeur automatique de billets),1200003
"Vente de gaz domestique (Butane, Propane)",1210001
DAB (Distributeur automatique de billets),1210001
Boutique alimentaire,1210002
Boutique non alimentaire,1210002
Station de gonflage,1210002
Carburant additivé,1210002
Piste poids lourds,1210002
Lavage automatique,1210002
Lavage manuel,1210002
Services réparation / entretien,1210002
DAB (Distributeur automatique de billets),1210002
Station de gonflage,1210003
Piste poids lourds,1210003
"Vente de gaz domestique (Butane, Propane)",1210003
