id,latitude,longitude,cp,pop,adresse,ville
1000001,46.20114,5.19791,01000,R,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG
1000002,46.21842,5.22767,01000,R,16 Avenue de Marboz,BOURG-EN-BRESSE
1000004,46.188,5.245,01000,R,20 Avenue du Maréchal Juin,Bourg-en-Bresse
1000005,46.2009359235,5.19942024022,01000,R,642 Avenue de Trévoux,SAINT-DENIS-LèS-BOURG
1000006,46.20754,5.23758,01000,R,1 Boulevard John Kennedy,BOURG-EN-BRESSE
1000007,46.221,5.245,01000,R,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse
1000008,46.199,5.241,01000,R,Bd Charles de Gaulle,BOURG-EN-BRESSE
1000009,46.196,5.229,01000,R,56 Rue du Stand,Bourg-en-Bresse
1000010,46.1985183794,5.243506378809999,01000,R,Boulevard Charles de Gaulle,BOURG-EN-BRESSE
1000012,46.201,5.2,01000,R,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG
1000013,46.1985183794,5.243506378809999,01000,R,BOULEVARD CHARLES DE GAULLE,Bourg-en-Bresse
1090001,46.096,4.775,01090,R,1 ROUTE DE FRANCHELEINS,MONTCEAUX
1100001,46.28404,5.66282,01100,R,ROUTE DE DORTAN,Arbent
1100002,46.25,5.644,01100,R,Rue Brillat-Savarin,OYONNAX
1100003,46.24966,5.64134,01100,R,174 Cours de Verdun,Oyonnax
1100004,46.272,5.66,01100,R,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX
1100006,46.262,5.648,01100,R,74 Rue Jules Michelet,Oyonnax
1100007,46.24966,5.64134,01100,R,174 COURS DE VERDUN,OYONNAX
1110001,45.978,5.599,01110,R,Rue Masonod,HAUTEVILLE-LOMPNES
1120002,45.8471518044,5.07404780227,01120,A,AUTOROUTE A 42,DAGNEUX
1120003,45.85103,5.05543,01120,A,AUTOROUTE A 42 AIRE DE DAGNEUX,Montluel
1120004,45.853,5.059,01120,R,Cours de la Portelle,MONTLUEL
1120005,45.847,5.048,01120,R,Route de Thil,LA BOISSE
1120006,45.846,5.041,01120,R,521 ROUTE NATIONALE,La Boisse
1120007,45.845,5.07,01120,A,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX
1120008,45.8471518044,5.07404780227,01120,A,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX
1130001,46.15785,5.60352,01130,R,ROUTE DE LA CLUSE,Nantua
1130002,46.167,5.691,01130,R,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT
1130003,46.158,5.604,01130,R,RTE DE LA CLUSE RN 84,NANTUA
1140001,46.18,4.817,01140,R,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne
1150001,45.902,5.346,01150,R,8 RUE DE L'INDUSTRIE,LAGNIEU
1150002,45.839,5.278,01150,R,Avenue Charles de Gaulle,SAINT-VULBAS
1160001,46.0533506156,5.3374103671699995,01160,R,Route de bourg,PONT-D'AIN
1160002,46.040209749999995,5.342318440000001,01160,R,Le Pont Rompu - RD 1084,PONT-D'AIN
1160003,46.074,5.376,01160,R,Rue du Docteur Hubert,NEUVILLE-SUR-AIN
1160005,46.0533506156,5.3374103671699995,01160,R,RTE DE BOURG RN 75,Pont-d'Ain
1170001,46.293,6.079,01170,R,RN5,SéGNY
1170002,46.322,6.053,01170,R,Lieu-Dit les Vertes Campagnes,GEX
1170003,46.33755,6.07534,01170,R,Route de Divonne les Bains,Gex
1170005,46.33522,6.058,01170,R, Avenue des Tilleuls,GEX
1190001,46.442,4.97,01190,R,PAE Pont de Vaux Est,Saint-Bénigne
1200001,46.106,5.823,01200,R,69 Rue de la République,Bellegarde-sur-Valserine
1200003,46.124,5.812,01200,R,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine
1200004,,,01200,R,79 RUE DE LA REPUBLIQUE,BELLEGARDE
1210001,46.25303,6.11817,01210,R,Chemin de la Brunette,FERNEY-VOLTAIRE
1210002,46.2521684169,6.11755425253,01210,R,ROUTE DE GENEVE,FERNEY-VOLTAIRE
1210003,46.244,6.095,01210,R,Route de Meyrin,FERNEY-VOLTAIRE
1220001,46.343,6.141,01220,R,691 AVENUE DU CRET D'EAU,Divonne-les-Bains
1230002,45.942,5.432,01230,R,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY
1230003,45.921,5.394,01230,R,RD 1504,Torcieu
1250001,46.203558237726995,5.2958828488323,01250,A,A 40 - AIRE DE BOURG JASSERON,Jasseron
1250002,46.204934587412005,5.2946919931769,01250,A,AIRE DE BOURG TEYSSONGE A 40,Ceyzériat
1250004,46.13408,5.2888,01250,R,route de la Vavrette,TOSSIAT
1250005,46.203558237726995,5.2958828488323,01250,A,AUTOROUTE A40 - AIRE DE BOURG JASSERON,CEYZERIAT
1270002,46.38325,5.34553,01270,R, Grande Rue,COLIGNY
1270003,46.382,5.345,01270,R,82 GRANDE RUE,COLIGNY
1290001,46.255,4.89,01290,R,Route de Chatillon Sur Chalaronne,LAIZ
